id;nome;cpf;a;b;;
107;usuario 107;660.049.414-19;660049414;19;;
108;usuario 108;244.590.506-11;244590506;11;;
109;usuario 109;504.835.415-16;504835415;16;;
110;usuario 110;240.686.385-10;240686385;10;;
111;usuario 111;658.230.221-15;658230221;15;;
112;usuario 112;870.514.240-14;870514240;14;;
113;usuario 113;266.876.937-12;266876937;12;;
114;usuario 114;903.747.008-19;903747008;19;;
115;usuario 115;511.928.733-12;511928733;12;;
116;usuario 116;317.265.382-16;317265382;16;;
117;usuario 117;844.205.954-11;844205954;11;;
118;usuario 118;535.460.026-12;535460026;12;;
119;usuario 119;546.775.804-12;546775804;12;;
120;usuario 120;626.207.042-18;626207042;18;;
121;usuario 121;595.265.227-12;595265227;12;;
122;usuario 122;996.791.989-16;996791989;16;;
123;usuario 123;634.371.652-19;634371652;19;;
124;usuario 124;925.897.637-15;925897637;15;;
125;usuario 125;983.572.373-10;983572373;10;;
126;usuario 126;142.775.908-15;142775908;15;;
127;usuario 127;963.068.086-11;963068086;11;;
128;usuario 128;241.768.214-15;241768214;15;;
129;usuario 129;425.171.935-10;425171935;10;;
130;usuario 130;120.602.689-13;120602689;13;;
131;usuario 131;380.557.419-13;380557419;13;;
132;usuario 132;990.050.554-17;990050554;17;;
133;usuario 133;941.929.215-16;941929215;16;;
134;usuario 134;965.702.087-14;965702087;14;;
135;usuario 135;458.510.031-13;458510031;13;;
136;usuario 136;536.054.757-19;536054757;19;;
137;usuario 137;530.103.440-14;530103440;14;;
138;usuario 138;927.132.473-12;927132473;12;;
139;usuario 139;213.337.498-19;213337498;19;;
140;usuario 140;748.787.929-10;748787929;10;;
141;usuario 141;567.924.520-13;567924520;13;;
142;usuario 142;431.321.860-16;431321860;16;;
143;usuario 143;191.896.902-12;191896902;12;;
144;usuario 144;977.686.452-16;977686452;16;;
145;usuario 145;410.023.571-10;410023571;10;;
146;usuario 146;292.753.767-17;292753767;17;;
147;usuario 147;426.099.329-18;426099329;18;;
148;usuario 148;873.498.427-10;873498427;10;;
149;usuario 149;222.387.935-16;222387935;16;;
150;usuario 150;790.520.617-15;790520617;15;;
151;usuario 151;732.683.490-10;732683490;10;;
152;usuario 152;285.501.454-13;285501454;13;;
153;usuario 153;558.016.567-18;558016567;18;;
154;usuario 154;835.631.904-11;835631904;11;;
155;usuario 155;912.548.994-18;912548994;18;;
156;usuario 156;310.472.450-10;310472450;10;;
157;usuario 157;933.950.058-17;933950058;17;;
158;usuario 158;692.187.541-14;692187541;14;;
159;usuario 159;741.392.290-12;741392290;12;;
160;usuario 160;813.457.582-11;813457582;11;;
161;usuario 161;799.152.981-18;799152981;18;;
162;usuario 162;636.777.883-12;636777883;12;;
163;usuario 163;234.107.054-11;234107054;11;;
164;usuario 164;488.820.169-10;488820169;10;;
165;usuario 165;875.314.626-13;875314626;13;;
166;usuario 166;981.929.629-14;981929629;14;;
167;usuario 167;514.561.327-17;514561327;17;;
168;usuario 168;682.208.578-12;682208578;12;;
169;usuario 169;945.700.744-10;945700744;10;;
170;usuario 170;909.520.825-19;909520825;19;;
171;usuario 171;616.278.166-18;616278166;18;;
172;usuario 172;710.727.596-10;710727596;10;;
173;usuario 173;763.045.658-18;763045658;18;;
174;usuario 174;970.392.781-10;970392781;10;;
175;usuario 175;995.266.959-18;995266959;18;;
176;usuario 176;148.780.106-19;148780106;19;;
177;usuario 177;403.974.622-11;403974622;11;;
178;usuario 178;146.171.595-13;146171595;13;;
179;usuario 179;282.597.508-18;282597508;18;;
180;usuario 180;353.893.193-18;353893193;18;;
181;usuario 181;209.601.733-16;209601733;16;;
182;usuario 182;268.981.838-16;268981838;16;;
183;usuario 183;337.551.555-14;337551555;14;;
184;usuario 184;482.745.923-16;482745923;16;;
185;usuario 185;841.869.015-15;841869015;15;;
186;usuario 186;791.628.810-17;791628810;17;;
187;usuario 187;499.410.437-19;499410437;19;;
188;usuario 188;244.818.951-10;244818951;10;;
189;usuario 189;489.544.904-14;489544904;14;;
190;usuario 190;617.107.467-12;617107467;12;;
191;usuario 191;867.168.521-18;867168521;18;;
192;usuario 192;932.396.669-10;932396669;10;;
193;usuario 193;350.200.725-12;350200725;12;;
194;usuario 194;964.721.835-18;964721835;18;;
195;usuario 195;941.662.058-18;941662058;18;;
196;usuario 196;753.523.806-14;753523806;14;;
197;usuario 197;362.861.992-17;362861992;17;;
198;usuario 198;381.249.570-10;381249570;10;;
199;usuario 199;765.617.413-17;765617413;17;;
200;usuario 200;875.561.221-13;875561221;13;;
201;usuario 201;432.078.524-16;432078524;16;;
202;usuario 202;299.381.777-11;299381777;11;;
203;usuario 203;949.992.017-17;949992017;17;;
204;usuario 204;638.057.696-10;638057696;10;;
205;usuario 205;778.670.414-19;778670414;19;;
206;usuario 206;275.782.917-19;275782917;19;;
207;usuario 207;862.277.557-16;862277557;16;;
208;usuario 208;779.265.772-18;779265772;18;;
209;usuario 209;881.614.016-19;881614016;19;;
210;usuario 210;187.708.286-10;187708286;10;;
211;usuario 211;844.960.388-14;844960388;14;;
212;usuario 212;491.925.437-12;491925437;12;;
213;usuario 213;939.751.906-10;939751906;10;;
214;usuario 214;481.759.249-14;481759249;14;;
215;usuario 215;787.887.833-15;787887833;15;;
216;usuario 216;150.063.276-12;150063276;12;;
217;usuario 217;632.841.965-14;632841965;14;;
218;usuario 218;328.166.680-16;328166680;16;;
219;usuario 219;788.078.474-10;788078474;10;;
220;usuario 220;362.586.262-19;362586262;19;;
221;usuario 221;227.602.240-16;227602240;16;;
222;usuario 222;382.618.428-13;382618428;13;;
223;usuario 223;970.465.200-16;970465200;16;;
224;usuario 224;706.210.792-18;706210792;18;;
225;usuario 225;593.217.409-18;593217409;18;;
226;usuario 226;621.166.131-11;621166131;11;;
227;usuario 227;875.324.125-18;875324125;18;;
228;usuario 228;359.429.783-15;359429783;15;;
229;usuario 229;351.596.037-15;351596037;15;;
230;usuario 230;149.646.804-16;149646804;16;;
231;usuario 231;998.367.750-18;998367750;18;;
232;usuario 232;201.430.069-17;201430069;17;;
233;usuario 233;539.947.849-11;539947849;11;;
234;usuario 234;195.183.734-13;195183734;13;;
235;usuario 235;953.599.444-13;953599444;13;;
236;usuario 236;337.932.487-13;337932487;13;;
237;usuario 237;885.874.640-18;885874640;18;;
238;usuario 238;552.975.679-18;552975679;18;;
239;usuario 239;943.618.068-11;943618068;11;;
240;usuario 240;426.303.301-19;426303301;19;;
241;usuario 241;851.180.470-13;851180470;13;;
242;usuario 242;591.951.849-16;591951849;16;;
243;usuario 243;999.982.523-18;999982523;18;;
244;usuario 244;719.745.911-10;719745911;10;;
245;usuario 245;846.501.584-16;846501584;16;;
246;usuario 246;958.731.164-17;958731164;17;;
247;usuario 247;954.789.363-11;954789363;11;;
248;usuario 248;681.196.916-14;681196916;14;;
249;usuario 249;264.873.866-11;264873866;11;;
250;usuario 250;140.324.424-10;140324424;10;;
251;usuario 251;780.007.082-10;780007082;10;;
252;usuario 252;158.175.825-14;158175825;14;;
253;usuario 253;742.467.219-12;742467219;12;;
254;usuario 254;940.752.693-10;940752693;10;;
255;usuario 255;715.898.909-18;715898909;18;;
256;usuario 256;515.378.684-12;515378684;12;;
257;usuario 257;248.173.608-17;248173608;17;;
258;usuario 258;238.993.840-14;238993840;14;;
259;usuario 259;195.995.673-18;195995673;18;;
260;usuario 260;859.349.899-11;859349899;11;;
261;usuario 261;195.480.169-15;195480169;15;;
262;usuario 262;372.402.073-12;372402073;12;;
263;usuario 263;981.427.813-12;981427813;12;;
264;usuario 264;503.417.184-17;503417184;17;;
265;usuario 265;902.103.720-19;902103720;19;;
266;usuario 266;666.290.115-13;666290115;13;;
267;usuario 267;787.504.199-10;787504199;10;;
268;usuario 268;797.803.811-18;797803811;18;;
269;usuario 269;955.665.892-10;955665892;10;;
270;usuario 270;458.169.233-18;458169233;18;;
271;usuario 271;825.481.143-15;825481143;15;;
272;usuario 272;803.295.881-11;803295881;11;;
273;usuario 273;909.973.430-17;909973430;17;;
274;usuario 274;247.163.056-12;247163056;12;;
275;usuario 275;993.682.085-16;993682085;16;;
276;usuario 276;945.523.189-11;945523189;11;;
277;usuario 277;873.650.340-13;873650340;13;;
278;usuario 278;868.702.587-12;868702587;12;;
279;usuario 279;392.198.249-17;392198249;17;;
280;usuario 280;230.641.016-13;230641016;13;;
281;usuario 281;374.577.605-15;374577605;15;;
282;usuario 282;163.922.492-13;163922492;13;;
283;usuario 283;601.685.773-11;601685773;11;;
284;usuario 284;211.165.446-10;211165446;10;;
285;usuario 285;825.709.855-19;825709855;19;;
286;usuario 286;842.524.444-11;842524444;11;;
287;usuario 287;367.917.644-14;367917644;14;;
288;usuario 288;844.481.924-13;844481924;13;;
289;usuario 289;211.428.351-11;211428351;11;;
290;usuario 290;399.017.020-15;399017020;15;;
291;usuario 291;779.950.088-11;779950088;11;;
292;usuario 292;156.941.598-17;156941598;17;;
293;usuario 293;271.479.830-19;271479830;19;;
294;usuario 294;708.323.583-12;708323583;12;;
295;usuario 295;341.101.294-10;341101294;10;;
296;usuario 296;347.307.987-17;347307987;17;;
297;usuario 297;357.664.755-18;357664755;18;;
298;usuario 298;916.054.781-11;916054781;11;;
299;usuario 299;356.043.808-14;356043808;14;;
300;usuario 300;589.986.114-15;589986114;15;;
301;usuario 301;198.612.987-19;198612987;19;;
302;usuario 302;665.924.711-17;665924711;17;;
303;usuario 303;530.587.804-19;530587804;19;;
304;usuario 304;857.600.364-11;857600364;11;;
305;usuario 305;583.988.190-19;583988190;19;;
306;usuario 306;740.561.162-13;740561162;13;;
307;usuario 307;513.257.457-15;513257457;15;;
308;usuario 308;265.791.449-17;265791449;17;;
309;usuario 309;882.778.478-11;882778478;11;;
310;usuario 310;118.500.096-16;118500096;16;;
311;usuario 311;411.333.426-16;411333426;16;;
312;usuario 312;366.834.827-17;366834827;17;;
313;usuario 313;628.590.064-17;628590064;17;;
314;usuario 314;206.115.503-18;206115503;18;;
315;usuario 315;602.187.191-16;602187191;16;;
316;usuario 316;246.832.646-19;246832646;19;;
317;usuario 317;375.707.703-12;375707703;12;;
318;usuario 318;145.104.984-18;145104984;18;;
319;usuario 319;401.164.525-17;401164525;17;;
320;usuario 320;240.843.531-10;240843531;10;;
321;usuario 321;683.657.150-19;683657150;19;;
322;usuario 322;697.248.545-11;697248545;11;;
323;usuario 323;701.410.994-11;701410994;11;;
324;usuario 324;518.942.558-12;518942558;12;;
325;usuario 325;880.119.043-12;880119043;12;;
326;usuario 326;213.778.448-12;213778448;12;;
327;usuario 327;782.702.468-18;782702468;18;;
328;usuario 328;755.965.339-16;755965339;16;;
329;usuario 329;975.489.467-19;975489467;19;;
330;usuario 330;822.787.528-10;822787528;10;;
331;usuario 331;394.602.467-13;394602467;13;;
332;usuario 332;372.478.984-18;372478984;18;;
333;usuario 333;713.836.308-12;713836308;12;;
334;usuario 334;541.722.740-10;541722740;10;;
335;usuario 335;213.035.549-10;213035549;10;;
336;usuario 336;572.378.581-17;572378581;17;;
337;usuario 337;847.678.791-19;847678791;19;;
338;usuario 338;712.467.407-10;712467407;10;;
339;usuario 339;126.197.621-17;126197621;17;;
340;usuario 340;308.117.584-19;308117584;19;;
341;usuario 341;819.351.789-11;819351789;11;;
342;usuario 342;325.657.022-18;325657022;18;;
343;usuario 343;716.716.586-11;716716586;11;;
344;usuario 344;347.948.648-10;347948648;10;;
345;usuario 345;706.145.112-16;706145112;16;;
346;usuario 346;572.063.347-10;572063347;10;;
347;usuario 347;966.791.154-11;966791154;11;;
348;usuario 348;315.046.659-12;315046659;12;;
349;usuario 349;564.138.411-13;564138411;13;;
350;usuario 350;231.305.131-19;231305131;19;;
351;usuario 351;705.466.983-18;705466983;18;;
352;usuario 352;619.558.969-16;619558969;16;;
353;usuario 353;261.225.715-13;261225715;13;;
354;usuario 354;855.876.754-18;855876754;18;;
355;usuario 355;553.931.006-11;553931006;11;;
356;usuario 356;762.754.400-15;762754400;15;;
357;usuario 357;953.317.045-16;953317045;16;;
358;usuario 358;117.690.166-13;117690166;13;;
359;usuario 359;401.609.008-17;401609008;17;;
360;usuario 360;866.379.596-17;866379596;17;;
361;usuario 361;645.561.923-14;645561923;14;;
362;usuario 362;243.969.909-14;243969909;14;;
363;usuario 363;767.512.292-19;767512292;19;;
364;usuario 364;216.599.691-13;216599691;13;;
365;usuario 365;312.325.877-13;312325877;13;;
366;usuario 366;985.098.306-12;985098306;12;;
367;usuario 367;648.036.723-12;648036723;12;;
368;usuario 368;212.674.140-18;212674140;18;;
369;usuario 369;230.829.453-17;230829453;17;;
370;usuario 370;606.890.678-12;606890678;12;;
371;usuario 371;728.903.893-17;728903893;17;;
372;usuario 372;793.617.797-12;793617797;12;;
373;usuario 373;186.272.833-15;186272833;15;;
374;usuario 374;857.321.957-17;857321957;17;;
375;usuario 375;536.817.418-12;536817418;12;;
376;usuario 376;696.670.985-11;696670985;11;;
377;usuario 377;960.724.915-12;960724915;12;;
378;usuario 378;260.614.483-13;260614483;13;;
379;usuario 379;974.643.647-10;974643647;10;;
380;usuario 380;838.907.980-10;838907980;10;;
381;usuario 381;251.285.173-10;251285173;10;;
382;usuario 382;836.258.156-17;836258156;17;;
383;usuario 383;159.258.568-18;159258568;18;;
384;usuario 384;789.646.752-16;789646752;16;;
385;usuario 385;440.959.421-17;440959421;17;;
386;usuario 386;624.508.078-11;624508078;11;;
387;usuario 387;302.815.837-16;302815837;16;;
388;usuario 388;485.898.427-18;485898427;18;;
389;usuario 389;896.609.141-11;896609141;11;;
390;usuario 390;303.940.664-18;303940664;18;;
391;usuario 391;894.930.307-11;894930307;11;;
392;usuario 392;294.263.778-16;294263778;16;;
393;usuario 393;242.346.494-13;242346494;13;;
394;usuario 394;281.082.712-17;281082712;17;;
395;usuario 395;753.024.967-13;753024967;13;;
396;usuario 396;286.342.631-14;286342631;14;;
397;usuario 397;313.508.499-12;313508499;12;;
398;usuario 398;697.525.073-13;697525073;13;;
399;usuario 399;525.698.861-15;525698861;15;;
400;usuario 400;340.262.114-13;340262114;13;;
401;usuario 401;176.709.203-11;176709203;11;;
402;usuario 402;278.942.451-15;278942451;15;;
403;usuario 403;227.149.890-14;227149890;14;;
404;usuario 404;467.503.457-14;467503457;14;;
405;usuario 405;830.323.254-12;830323254;12;;
406;usuario 406;951.104.593-11;951104593;11;;
407;usuario 407;658.351.601-11;658351601;11;;
408;usuario 408;162.331.021-12;162331021;12;;
409;usuario 409;145.165.820-10;145165820;10;;
410;usuario 410;855.943.240-19;855943240;19;;
411;usuario 411;733.842.845-10;733842845;10;;
412;usuario 412;673.713.313-14;673713313;14;;
413;usuario 413;242.636.523-16;242636523;16;;
414;usuario 414;411.175.139-13;411175139;13;;
415;usuario 415;459.061.395-10;459061395;10;;
416;usuario 416;615.666.331-15;615666331;15;;
417;usuario 417;985.692.410-16;985692410;16;;
418;usuario 418;623.356.083-13;623356083;13;;
419;usuario 419;644.840.854-15;644840854;15;;
420;usuario 420;746.530.528-10;746530528;10;;
421;usuario 421;311.415.307-13;311415307;13;;
422;usuario 422;744.658.424-14;744658424;14;;
423;usuario 423;745.508.843-19;745508843;19;;
424;usuario 424;680.231.436-13;680231436;13;;
425;usuario 425;553.195.586-13;553195586;13;;
426;usuario 426;453.328.131-18;453328131;18;;
427;usuario 427;175.824.460-18;175824460;18;;
428;usuario 428;988.579.330-16;988579330;16;;
429;usuario 429;338.788.285-19;338788285;19;;
430;usuario 430;748.729.696-17;748729696;17;;
431;usuario 431;918.301.455-10;918301455;10;;
432;usuario 432;407.529.413-17;407529413;17;;
433;usuario 433;446.923.209-14;446923209;14;;
434;usuario 434;724.016.591-19;724016591;19;;
435;usuario 435;877.298.169-18;877298169;18;;
436;usuario 436;719.627.954-13;719627954;13;;
437;usuario 437;185.881.046-16;185881046;16;;
438;usuario 438;907.255.271-16;907255271;16;;
439;usuario 439;352.254.124-11;352254124;11;;
440;usuario 440;111.859.692-17;111859692;17;;
441;usuario 441;951.824.962-16;951824962;16;;
442;usuario 442;851.207.730-18;851207730;18;;
443;usuario 443;927.016.734-17;927016734;17;;
444;usuario 444;605.457.008-19;605457008;19;;
445;usuario 445;481.535.917-16;481535917;16;;
446;usuario 446;476.855.958-18;476855958;18;;
447;usuario 447;869.120.670-19;869120670;19;;
448;usuario 448;856.349.703-16;856349703;16;;
449;usuario 449;710.718.881-15;710718881;15;;
450;usuario 450;416.434.538-15;416434538;15;;
451;usuario 451;749.770.402-17;749770402;17;;
452;usuario 452;378.082.881-17;378082881;17;;
453;usuario 453;394.464.161-10;394464161;10;;
454;usuario 454;368.490.987-18;368490987;18;;
455;usuario 455;366.398.178-12;366398178;12;;
456;usuario 456;176.512.300-10;176512300;10;;
457;usuario 457;735.355.929-10;735355929;10;;
458;usuario 458;127.159.284-19;127159284;19;;
459;usuario 459;934.226.607-17;934226607;17;;
460;usuario 460;281.419.889-15;281419889;15;;
461;usuario 461;270.070.211-17;270070211;17;;
462;usuario 462;687.072.510-13;687072510;13;;
463;usuario 463;390.228.464-13;390228464;13;;
464;usuario 464;432.129.516-16;432129516;16;;
465;usuario 465;194.436.010-18;194436010;18;;
466;usuario 466;729.602.847-14;729602847;14;;
467;usuario 467;269.568.707-12;269568707;12;;
468;usuario 468;703.447.654-18;703447654;18;;
469;usuario 469;911.270.043-16;911270043;16;;
470;usuario 470;994.601.572-17;994601572;17;;
471;usuario 471;449.152.790-10;449152790;10;;
472;usuario 472;303.830.645-15;303830645;15;;
473;usuario 473;990.450.938-11;990450938;11;;
474;usuario 474;749.940.935-18;749940935;18;;
475;usuario 475;558.186.296-15;558186296;15;;
476;usuario 476;219.588.950-17;219588950;17;;
477;usuario 477;824.893.209-17;824893209;17;;
478;usuario 478;435.225.490-18;435225490;18;;
479;usuario 479;239.137.151-15;239137151;15;;
480;usuario 480;176.315.600-15;176315600;15;;
481;usuario 481;527.052.947-14;527052947;14;;
482;usuario 482;562.757.820-16;562757820;16;;
483;usuario 483;723.880.310-13;723880310;13;;
484;usuario 484;633.641.536-10;633641536;10;;
485;usuario 485;379.041.313-10;379041313;10;;
486;usuario 486;678.384.362-17;678384362;17;;
487;usuario 487;616.991.350-18;616991350;18;;
488;usuario 488;480.339.146-12;480339146;12;;
489;usuario 489;340.215.468-12;340215468;12;;
490;usuario 490;182.997.306-10;182997306;10;;
491;usuario 491;862.695.532-16;862695532;16;;
492;usuario 492;362.861.848-10;362861848;10;;
493;usuario 493;251.592.564-10;251592564;10;;
494;usuario 494;173.409.803-10;173409803;10;;
495;usuario 495;174.520.980-16;174520980;16;;
496;usuario 496;940.454.989-18;940454989;18;;
497;usuario 497;649.414.275-14;649414275;14;;
498;usuario 498;648.773.389-14;648773389;14;;
499;usuario 499;868.244.618-12;868244618;12;;
500;usuario 500;576.792.451-15;576792451;15;;
501;usuario 501;850.120.528-15;850120528;15;;
502;usuario 502;279.855.754-13;279855754;13;;
503;usuario 503;290.187.574-11;290187574;11;;
504;usuario 504;535.656.061-18;535656061;18;;
505;usuario 505;880.545.446-18;880545446;18;;
506;usuario 506;669.192.453-16;669192453;16;;
507;usuario 507;822.211.557-11;822211557;11;;
508;usuario 508;765.176.420-14;765176420;14;;
509;usuario 509;530.138.725-18;530138725;18;;
510;usuario 510;280.837.239-17;280837239;17;;
511;usuario 511;267.077.165-13;267077165;13;;
512;usuario 512;727.505.340-11;727505340;11;;
513;usuario 513;853.939.059-13;853939059;13;;
514;usuario 514;205.314.909-13;205314909;13;;
515;usuario 515;933.673.250-11;933673250;11;;
516;usuario 516;767.892.436-18;767892436;18;;
517;usuario 517;485.163.829-15;485163829;15;;
518;usuario 518;571.824.938-10;571824938;10;;
519;usuario 519;494.144.039-10;494144039;10;;
520;usuario 520;723.094.882-16;723094882;16;;
521;usuario 521;957.881.580-11;957881580;11;;
522;usuario 522;539.324.469-12;539324469;12;;
523;usuario 523;810.195.515-17;810195515;17;;
524;usuario 524;322.515.809-10;322515809;10;;
525;usuario 525;626.656.054-11;626656054;11;;
526;usuario 526;976.121.253-14;976121253;14;;
527;usuario 527;286.550.144-19;286550144;19;;
528;usuario 528;703.080.023-10;703080023;10;;
529;usuario 529;691.850.256-11;691850256;11;;
530;usuario 530;344.481.666-18;344481666;18;;
531;usuario 531;497.922.319-10;497922319;10;;
532;usuario 532;120.803.323-17;120803323;17;;
533;usuario 533;748.762.032-11;748762032;11;;
534;usuario 534;959.411.617-13;959411617;13;;
535;usuario 535;859.875.242-14;859875242;14;;
536;usuario 536;760.275.081-14;760275081;14;;
537;usuario 537;646.564.799-16;646564799;16;;
538;usuario 538;594.556.713-16;594556713;16;;
539;usuario 539;117.170.995-14;117170995;14;;
540;usuario 540;417.969.770-10;417969770;10;;
541;usuario 541;537.528.854-14;537528854;14;;
542;usuario 542;720.960.895-16;720960895;16;;
543;usuario 543;985.326.420-11;985326420;11;;
544;usuario 544;614.024.221-17;614024221;17;;
545;usuario 545;585.263.227-16;585263227;16;;
546;usuario 546;571.795.301-10;571795301;10;;
547;usuario 547;284.018.780-10;284018780;10;;
548;usuario 548;818.630.184-16;818630184;16;;
549;usuario 549;950.553.817-16;950553817;16;;
550;usuario 550;844.361.799-13;844361799;13;;
551;usuario 551;145.703.401-11;145703401;11;;
552;usuario 552;554.846.326-15;554846326;15;;
553;usuario 553;282.689.472-13;282689472;13;;
554;usuario 554;796.626.230-12;796626230;12;;
555;usuario 555;834.174.490-18;834174490;18;;
556;usuario 556;950.165.706-13;950165706;13;;
557;usuario 557;113.012.781-12;113012781;12;;
558;usuario 558;326.802.268-14;326802268;14;;
559;usuario 559;772.457.298-13;772457298;13;;
560;usuario 560;335.854.922-11;335854922;11;;
561;usuario 561;345.443.259-16;345443259;16;;
562;usuario 562;909.844.637-14;909844637;14;;
563;usuario 563;403.082.564-14;403082564;14;;
564;usuario 564;857.698.067-17;857698067;17;;
565;usuario 565;925.814.983-10;925814983;10;;
566;usuario 566;998.373.314-11;998373314;11;;
567;usuario 567;990.825.868-10;990825868;10;;
568;usuario 568;336.360.658-14;336360658;14;;
569;usuario 569;677.747.638-16;677747638;16;;
570;usuario 570;367.708.607-14;367708607;14;;
571;usuario 571;679.383.737-17;679383737;17;;
572;usuario 572;757.830.202-17;757830202;17;;
573;usuario 573;115.160.090-16;115160090;16;;
574;usuario 574;387.388.933-17;387388933;17;;
575;usuario 575;390.291.763-17;390291763;17;;
576;usuario 576;634.340.958-19;634340958;19;;
577;usuario 577;360.846.663-16;360846663;16;;
578;usuario 578;764.238.817-16;764238817;16;;
579;usuario 579;928.724.284-16;928724284;16;;
580;usuario 580;643.981.579-18;643981579;18;;
581;usuario 581;530.448.551-12;530448551;12;;
